INPUT:question_id	INPUT:question
4421633	"Who is listening on a given TCP port on Mac OS X?

On Linux, I can use netstat -pntl | grep $PORT or fuser -n tcp $PORT to find out which process (PID) is listening on the specified TCP port. How do I get the same information on Mac OS X?
"
126100	"How to efficiently count the number of keys/properties of an object in JavaScript

What's the fastest way to count the number of keys/properties of an object? Is it possible to do this without iterating over the object?  I.e., without doing:
var count = 0;
for (k in myobj) if (myobj.hasOwnProperty(k)) ++count;

(Firefox did provide a magic __count__ property, but this was removed somewhere around version 4.)
"
729692	"Why should text files end with a newline?

I assume everyone here is familiar with the adage that all text files should end with a newline. I've known of this ""rule"" for years but I've always wondered — why?
"
3216013	"Get the last item in an array

Here is my JavaScript code so far:

var linkElement = document.getElementById(""BackButton"");
var loc_array = document.location.href.split('/');
var newT = document.createTextNode(unescape(capWords(loc_array[loc_array.length-2]))); 
linkElement.appendChild(newT);


Currently it takes the second to last item in the array from the URL. However, I want to do a check for the last item in the array to be ""index.html"" and if so, grab the third to last item instead.
"
73319	"How to duplicate a whole line in Vim?

How do I duplicate a whole line in Vim in a similar way to Ctrl+D in IntelliJ IDEA/ Resharper or Ctrl+Alt+↑/↓ in Eclipse?
"
1646698	"What is the 'new' keyword in JavaScript?

The new keyword in JavaScript can be quite confusing when it is first encountered, as people tend to think that JavaScript is not an object-oriented programming language.


What is it?
What problems does it solve?
When is it appropriate and when not?

"
354038	"How do I check if a string represents a number (float or int)?

How do I check if a string represents a numeric value in Python?
def is_number(s):
    try:
        float(s)
        return True
    except ValueError:
        return False

The above works, but it seems clunky.

If what you are testing comes from user input, it is still a string even if it represents an int or a float. See How can I read inputs as numbers? for converting the input, and Asking the user for input until they give a valid response for ensuring that the input represents an int or float (or other requirements) before proceeding.
"
41573587	"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?

Python 3.3 includes in its standard library the new package venv. What does it do, and how does it differ from all the other packages that match the regex (py)?(v|virtual|pip)?env?
"
3481828	"How do I split a string in Java?

I want to split the string ""004-034556"" into two strings by the delimiter ""-"":
part1 = ""004"";
part2 = ""034556"";

That means the first string will contain the characters before '-', and the second string will contain the characters after '-'.
I also want to check if the string has '-' in it.
"
356705	"How to send a header using a HTTP request through a cURL call?

I wish to send a header to my Apache server on a Linux box.  How can I achieve this via a cURL call?
"
1168807	"How can I add a key/value pair to a JavaScript object?

Here is my object literal:

var obj = {key1: value1, key2: value2};


How can I add field key3 with value3 to the object?
"
12694530	"What is TypeScript and why would I use it in place of JavaScript?

Can you please describe what the TypeScript language is?

What can it do that JavaScript or available libraries cannot do, that would give me reason to consider it?
"
18641899	"What is the difference between Bower and npm?

What is the fundamental difference between bower and npm? Just want something plain and simple. I've seen some of my colleagues use bower and npm interchangeably in their projects.
"
3518002	"How can I set the default value for an HTML <select> element?

I thought that adding a ""value"" attribute set on the <select> element below would cause the <option> containing my provided ""value"" to be selected by default:



<select name=""hall"" id=""hall"" value=""3"">
  <option>1</option>
  <option>2</option>
  <option>3</option>
  <option>4</option>
  <option>5</option>
</select>




However, this did not work as I had expected. How can I set which <option> element is selected by default?
"
2450954	"How to randomize (shuffle) a JavaScript array?

I have an array like this:

var arr1 = [""a"", ""b"", ""c"", ""d""];


How can I randomize / shuffle it?
"
2364147	"How to get just one file from another branch?

I have a master branch with a file called app.js. I made changes to this file on an experiment branch.
I want to apply only the changes made to app.js from experiment onto the master branch.
"
15182496	"Why does this code using random strings print ""hello world""?

The following print statement would print ""hello world"".
Could anyone explain this?

System.out.println(randomString(-229985452) + "" "" + randomString(-147909649));


And randomString() looks like this:

public static String randomString(int i)
{
    Random ran = new Random(i);
    StringBuilder sb = new StringBuilder();
    while (true)
    {
        int k = ran.nextInt(27);
        if (k == 0)
            break;

        sb.append((char)('`' + k));
    }

    return sb.toString();
}

"
